image_path,umap_x,umap_y,cluster
../data_3\102021503_NEG655073934479995542_102021503_NEG655073934479995542_sw_mtf_vis_only.jpg,-0.28667518,-0.9176868,1
../data_3\102021504_NEG663164014479278882_102021504_NEG663164014479278882_sw_mtf_vis_only.jpg,-2.141932,-4.9896364,1
../data_3\102021504_NEG664270221479670737_102021504_NEG664270221479670737_sw_mtf_vis_only.jpg,-2.7754886,-5.020545,1
../data_3\102021504_NEG666846889481107505_102021504_NEG666846889481107505_sw_mtf_vis_only.jpg,-2.0074244,-4.7020073,1
../data_3\102021504_NEG669028748480810029_102021504_NEG669028748480810029_sw_mtf_vis_only.jpg,-0.7673911,-3.820875,1
../data_3\102021978_NEG565786336477092595_102021978_NEG565786336477092595_sw_mtf_vis_only.jpg,-1.8935716,-5.3070235,1
../data_3\102021980_NEG576667803474825283_102021980_NEG576667803474825283_sw_mtf_vis_only.jpg,-0.49153244,0.016796688,1
../data_3\102021980_NEG577646036477033395_102021980_NEG577646036477033395_sw_mtf_vis_only.jpg,-1.4834781,-0.6176564,1
../data_3\102021981_NEG583343318473770500_102021981_NEG583343318473770500_sw_mtf_vis_only.jpg,-0.9382221,-2.5174968,1
../data_3\102021981_NEG586493481476452509_102021981_NEG586493481476452509_sw_mtf_vis_only.jpg,-2.9943013,-4.1469226,1
../data_3\102021982_NEG593574657477168830_102021982_NEG593574657477168830_sw_mtf_vis_only.jpg,-1.9730601,-2.909931,1
../data_3\102021982_NEG594322234473727139_102021982_NEG594322234473727139_sw_mtf_vis_only.jpg,-2.606193,-4.670918,1
../data_3\102021982_NEG594333174476368664_102021982_NEG594333174476368664_sw_mtf_vis_only.jpg,-0.46518615,-3.5534382,1
../data_3\102021984_NEG605671540476154903_102021984_NEG605671540476154903_sw_mtf_vis_only.jpg,-1.7308977,-1.4522917,1
../data_3\102021984_NEG609678648473892045_102021984_NEG609678648473892045_sw_mtf_vis_only.jpg,-0.9476459,-3.111183,1
../data_3\102021984_NEG610367881474644147_102021984_NEG610367881474644147_sw_mtf_vis_only.jpg,-1.7497864,-1.7915052,1
../data_3\102021985_NEG615462575476067577_102021985_NEG615462575476067577_sw_mtf_vis_only.jpg,-1.8742319,-2.3921213,1
../data_3\102021985_NEG616063813472801324_102021985_NEG616063813472801324_sw_mtf_vis_only.jpg,-1.9529738,-2.5305479,1
../data_3\102021986_NEG619535738476339304_102021986_NEG619535738476339304_sw_mtf_vis_only.jpg,-2.2752545,-3.0947313,1
../data_3\102021986_NEG621796804473410288_102021986_NEG621796804473410288_sw_mtf_vis_only.jpg,-1.5133294,-1.0881522,1
../data_3\102021987_NEG632575884473969454_102021987_NEG632575884473969454_sw_mtf_vis_only.jpg,-1.708744,-4.777801,1
../data_3\102021988_NEG636381546474267847_102021988_NEG636381546474267847_sw_mtf_vis_only.jpg,-2.2071192,-3.019729,1
../data_3\102021988_NEG637841878475955814_102021988_NEG637841878475955814_sw_mtf_vis_only.jpg,-0.99560875,-4.6297865,1
../data_3\102021988_NEG640289253474412348_102021988_NEG640289253474412348_sw_mtf_vis_only.jpg,-0.752424,-0.29717982,1
../data_3\102021989_NEG644172618476134973_102021989_NEG644172618476134973_sw_mtf_vis_only.jpg,-1.4773673,-4.7023683,1
../data_3\102021990_NEG651246796473086761_102021990_NEG651246796473086761_sw_mtf_vis_only.jpg,-0.6846867,-0.93596286,1
../data_3\102022474_NEG591186165469192016_102022474_NEG591186165469192016_sw_mtf_vis_only.jpg,-0.3524935,-3.2942708,1
../data_3\102022477_NEG611759342471748630_102022477_NEG611759342471748630_sw_mtf_vis_only.jpg,-1.6180798,-2.8279004,1
../data_3\102022477_NEG612993633468010321_102022477_NEG612993633468010321_sw_mtf_vis_only.jpg,-0.8724957,-5.212669,1
../data_3\102022479_NEG621145334471255869_102022479_NEG621145334471255869_sw_mtf_vis_only.jpg,-1.6825658,-1.333493,1
../data_3\102022479_NEG623150693471748758_102022479_NEG623150693471748758_sw_mtf_vis_only.jpg,-0.97842497,-5.270879,1
../data_3\102022480_NEG630160205470193218_102022480_NEG630160205470193218_sw_mtf_vis_only.jpg,-0.13038737,-1.9251077,1
../data_3\102022481_NEG641874067471349140_102022481_NEG641874067471349140_sw_mtf_vis_only.jpg,-2.6166599,-2.692121,1
../data_3\102022483_NEG653290299470260264_102022483_NEG653290299470260264_sw_mtf_vis_only.jpg,-2.21539,-4.0357647,1
../data_3\102022484_NEG657584203469449092_102022484_NEG657584203469449092_sw_mtf_vis_only.jpg,-0.4655231,-2.2220047,1
../data_3\102022974_NEG610978759464405134_102022974_NEG610978759464405134_sw_mtf_vis_only.jpg,0.26806715,-1.4946581,1
../data_3\102022975_NEG617890913466103850_102022975_NEG617890913466103850_sw_mtf_vis_only.jpg,-1.0421059,-0.88363856,1
../data_3\102022977_NEG631763965463618343_102022977_NEG631763965463618343_sw_mtf_vis_only.jpg,-2.1060362,-3.1949265,1
../data_3\102022978_NEG639856435467273842_102022978_NEG639856435467273842_sw_mtf_vis_only.jpg,-1.4779181,-3.2460272,1
../data_3\102022980_NEG657082285467450951_102022980_NEG657082285467450951_sw_mtf_vis_only.jpg,-0.32986075,-3.2793796,1
../data_3\102022980_NEG657553777465731159_102022980_NEG657553777465731159_sw_mtf_vis_only.jpg,-2.057271,-3.1885338,0
../data_3\102023476_NEG610025395461180513_102023476_NEG610025395461180513_sw_mtf_vis_only.jpg,-2.082311,-4.609064,1
../data_3\102023478_NEG628457640459296313_102023478_NEG628457640459296313_sw_mtf_vis_only.jpg,-0.4109681,-3.6749883,1
../data_3\102023479_NEG631968882458727056_102023479_NEG631968882458727056_sw_mtf_vis_only.jpg,-3.3921487,-3.4811878,0
../data_3\102023479_NEG633382827461467539_102023479_NEG633382827461467539_sw_mtf_vis_only.jpg,-2.8708453,-4.3506584,1
../data_3\102023480_NEG640021734460830824_102023480_NEG640021734460830824_sw_mtf_vis_only.jpg,-1.1042098,-3.9935894,1
../data_3\102023480_NEG640270096460844048_102023480_NEG640270096460844048_sw_mtf_vis_only.jpg,-1.3223358,-1.1747687,1
../data_3\102023480_NEG642201006461096820_102023480_NEG642201006461096820_sw_mtf_vis_only.jpg,-1.2405566,-0.34263405,1
../data_3\102023481_NEG647245161459048846_102023481_NEG647245161459048846_sw_mtf_vis_only.jpg,-2.407483,-4.8235016,1
../data_3\102023482_NEG655179432459165110_102023482_NEG655179432459165110_sw_mtf_vis_only.jpg,-0.8341924,-4.39924,1
../data_3\102023482_NEG657383017460972594_102023482_NEG657383017460972594_sw_mtf_vis_only.jpg,-0.62536174,-4.2331066,1
../data_3\102023984_NEG627804838454213106_102023984_NEG627804838454213106_sw_mtf_vis_only.jpg,-3.048184,-3.0554469,1
../data_3\102023986_NEG643189719456460589_102023986_NEG643189719456460589_sw_mtf_vis_only.jpg,-2.0051212,-2.7264292,1
../data_3\102041656_NEG523359673301396466_102041656_NEG523359673301396466_sw_mtf_vis_only.jpg,-1.6961206,-4.7486506,1
../data_3\102041657_NEG527330118300603942_102041657_NEG527330118300603942_sw_mtf_vis_only.jpg,-1.0846393,-4.824246,1
../data_3\102041657_NEG527925237298894414_102041657_NEG527925237298894414_sw_mtf_vis_only.jpg,-1.8129016,-2.0940807,1
../data_3\102041657_NEG529209996299100136_102041657_NEG529209996299100136_sw_mtf_vis_only.jpg,-0.96091133,-0.12942179,1
../data_3\102042283_NEG518770667295125494_102042283_NEG518770667295125494_sw_mtf_vis_only.jpg,-0.50389,-4.747756,1
../data_3\102042283_NEG520608563295081214_102042283_NEG520608563295081214_sw_mtf_vis_only.jpg,-0.54795283,-5.14064,1
../data_3\102042284_NEG523902104295926900_102042284_NEG523902104295926900_sw_mtf_vis_only.jpg,-0.86160535,-1.0066355,1
../data_3\102042913_NEG515596854290228591_102042913_NEG515596854290228591_sw_mtf_vis_only.jpg,-1.1698054,-0.31699124,1
../data_3\102042913_NEG515847139291141021_102042913_NEG515847139291141021_sw_mtf_vis_only.jpg,-0.74987686,-4.1053414,1
../data_3\102042914_NEG522625262291125533_102042914_NEG522625262291125533_sw_mtf_vis_only.jpg,-2.5668528,-4.456912,1
../data_3\102042914_NEG523479785291521247_102042914_NEG523479785291521247_sw_mtf_vis_only.jpg,-0.605741,-2.127589,1
../data_3\102042915_NEG527574180288799276_102042915_NEG527574180288799276_sw_mtf_vis_only.jpg,-3.1654615,-3.8152626,1
../data_3\102042915_NEG528545016288651034_102042915_NEG528545016288651034_sw_mtf_vis_only.jpg,-0.9695961,-0.6088366,1
../data_3\102042916_NEG533251142291509670_102042916_NEG533251142291509670_sw_mtf_vis_only.jpg,-0.84715873,-5.021315,1
../data_3\102042917_NEG539279061291936993_102042917_NEG539279061291936993_sw_mtf_vis_only.jpg,-2.668383,-1.7247615,0
../data_3\102042917_NEG540132584291926297_102042917_NEG540132584291926297_sw_mtf_vis_only.jpg,-1.5526543,-4.1421285,1
../data_3\102042917_NEG540926519290733004_102042917_NEG540926519290733004_sw_mtf_vis_only.jpg,-1.3320428,-4.9542418,1
